first_name,last_name,email,phone,gender,age,party,registered,vote_preference,street_number,street_name,city,state,postal_code
Tobi,Peterson,tpeterson0@cyberchimps.com,304-777-5939,Prefer not to say,40,None,true,Support,72509,Utah,Huntington,WV,25716
Iggie,Bailes,ibailes1@washingtonpost.com,704-578-7192,Male,33,Independent,true,Support,91,Gateway,Charlotte,NC,28220
Ramon,McElmurray,rmcelmurray2@smh.com.au,513-880-0847,Prefer not to say,38,Independent,false,Support,97,Veith,Cincinnati,OH,45249
Maxwell,Samuels,msamuels3@aboutads.info,646-393-8012,Prefer not to say,60,Independent,true,Undecided,7137,Buell,New York City,NY,10014
Art,Fido,afido4@booking.com,816-294-7492,Male,34,Democratic,true,Oppose,02,Ronald Regan,Independence,MO,64054
Jesselyn,Chattoe,jchattoe5@tamu.edu,203-783-0670,Prefer to self-describe,49,None,true,Oppose,52,Melrose,New Haven,CT,06538
Leonid,Caudrey,lcaudrey6@zimbio.com,281-834-7840,Female,43,Republican,true,Undecided,3371,Katie,Houston,TX,77293
Granthem,Gaudon,ggaudon7@army.mil,484-660-2634,Male,25,Republican,false,Undecided,42,Birchwood,Reading,PA,19610
Lethia,Magarrell,lmagarrell8@cnbc.com,202-264-3576,Non-binary,72,Independent,false,Support,813,Anzinger,Washington,DC,20530
Dolorita,Novotni,dnovotni9@de.vu,802-337-1878,Female,88,Republican,false,Oppose,2,Rutledge,Montpelier,VT,05609
Chalmers,Pedrol,cpedrola@newyorker.com,404-956-6513,Prefer to self-describe,48,Democratic,false,Oppose,55,Mandrake,Atlanta,GA,30336
Sandra,Deener,sdeenerb@amazonaws.com,802-594-4946,Female,81,Independent,false,Support,39,Forest,Montpelier,VT,05609
Barnabe,Twelvetrees,btwelvetreesc@hostgator.com,713-764-9984,Non-binary,55,None,false,Undecided,44,Emmet,Houston,TX,77060
Tansy,Tolland,ttollandd@bloomberg.com,212-728-5372,Female,38,Democratic,true,Undecided,0,Sauthoff,New York City,NY,10203
Chloette,Klees,ckleese@state.tx.us,217-419-1297,Non-binary,42,Democratic,true,Undecided,6,Packers,Springfield,IL,62718
Monah,Vandenhoff,mvandenhofff@hc360.com,650-250-1510,Male,71,Independent,false,Oppose,88197,Pepper Wood,Redwood City,CA,94064
Benedetto,Jahnke,bjahnkeg@devhub.com,336-866-0145,Prefer not to say,30,Democratic,false,Undecided,39,Haas,Winston Salem,NC,27105
Linn,Alphege,lalphegeh@apache.org,863-263-3433,Non-binary,23,Independent,true,Support,2,Algoma,Lakeland,FL,33805
Jessey,Plesing,jplesingi@omniture.com,315-279-0553,Non-binary,62,Republican,true,Undecided,8,Anzinger,Syracuse,NY,13224
